iter	Passed	Remaining
0	131	131215
1	133	66408
2	134	44859
3	137	34162
4	139	27748
5	141	23471
6	143	20378
7	146	18109
8	148	16300
9	149	14846
10	151	13635
11	153	12617
12	154	11739
13	156	10991
14	157	10330
15	158	9744
16	159	9218
17	160	8749
18	161	8328
19	162	7970
20	163	7622
21	164	7300
22	165	7010
23	165	6749
24	166	6506
25	167	6274
26	168	6057
27	168	5855
28	169	5666
29	169	5491
30	170	5326
31	170	5171
32	171	5026
33	172	4889
34	172	4759
35	173	4642
36	174	4532
37	174	4424
38	175	4321
39	175	4221
40	176	4129
41	177	4040
42	177	3959
43	178	3883
44	179	3807
45	180	3733
46	180	3661
47	181	3592
48	181	3525
49	182	3463
50	182	3402
51	183	3344
52	183	3287
53	184	3232
54	185	3179
55	185	3129
56	186	3082
57	186	3036
58	187	2992
59	188	2958
60	189	2919
61	191	2894
62	191	2853
63	192	2813
64	192	2775
65	193	2737
66	194	2702
67	194	2663
68	194	2629
69	195	2596
70	196	2564
71	196	2532
72	197	2502
73	197	2472
74	198	2444
75	198	2417
76	199	2391
77	200	2367
78	201	2346
79	202	2323
80	202	2298
81	203	2274
82	203	2250
83	204	2227
84	204	2202
85	205	2180
86	205	2157
87	206	2136
88	206	2116
89	207	2096
90	207	2076
91	208	2057
92	209	2038
93	209	2021
94	210	2005
95	211	1989
96	211	1972
97	212	1959
98	213	1944
99	214	1934
100	215	1920
101	216	1902
102	216	1888
103	217	1873
104	218	1859
105	218	1844
106	219	1830
107	219	1815
108	220	1801
109	220	1787
110	221	1774
111	222	1761
112	222	1747
113	223	1734
114	223	1721
115	224	1707
116	224	1695
117	225	1684
118	225	1672
119	226	1661
120	227	1652
121	228	1641
122	228	1628
123	229	1618
124	229	1607
125	230	1596
126	230	1586
127	231	1574
128	231	1564
129	232	1554
130	232	1544
131	233	1535
132	233	1525
133	234	1515
134	235	1506
135	235	1496
136	236	1487
137	236	1477
138	237	1468
139	237	1459
140	238	1451
141	238	1443
142	240	1439
143	241	1437
144	242	1431
145	243	1424
146	244	1416
147	244	1408
148	245	1400
149	245	1392
150	246	1384
151	246	1377
152	247	1369
153	247	1362
154	248	1354
155	249	1347
156	249	1340
157	250	1333
158	250	1326
159	251	1319
160	251	1312
161	252	1306
162	253	1300
163	253	1294
164	254	1288
165	255	1282
166	255	1276
167	256	1269
168	256	1263
169	257	1257
170	258	1251
171	258	1244
172	259	1238
173	259	1232
174	260	1226
175	260	1221
176	261	1215
177	261	1209
178	262	1203
179	262	1198
180	263	1191
181	263	1185
182	264	1180
183	265	1175
184	265	1171
185	266	1166
186	267	1163
187	268	1159
188	269	1154
189	269	1149
190	270	1144
191	270	1139
192	271	1134
193	271	1129
194	272	1124
195	272	1119
196	273	1114
197	273	1109
198	274	1104
199	275	1100
200	275	1095
201	276	1090
202	276	1086
203	277	1081
204	277	1077
205	278	1073
206	279	1069
207	279	1065
208	280	1061
209	281	1057
210	281	1053
211	282	1048
212	282	1044
213	283	1040
214	283	1036
215	284	1032
216	285	1028
217	285	1024
218	286	1020
219	286	1016
220	287	1012
221	287	1008
222	288	1004
223	288	1001
224	289	997
225	290	993
226	290	989
227	291	986
228	292	983
229	292	979
230	293	976
231	294	973
232	294	970
233	295	966
234	295	962
235	296	959
236	296	955
237	297	952
238	297	948
239	298	945
240	298	941
241	299	938
242	300	934
243	300	931
244	301	928
245	301	924
246	302	921
247	302	918
248	303	914
249	303	911
250	304	908
251	305	905
252	306	903
253	306	900
254	307	897
255	307	894
256	308	891
257	308	888
258	309	885
259	310	882
260	310	879
261	311	876
262	311	873
263	312	870
264	312	867
265	313	864
266	313	861
267	314	858
268	314	855
269	315	852
270	315	850
271	316	847
272	317	844
273	317	842
274	318	839
275	319	837
276	319	834
277	320	832
278	321	829
279	321	826
280	322	824
281	322	821
282	323	818
283	323	816
284	324	813
285	324	810
286	325	808
287	325	805
288	326	803
289	326	800
290	327	797
291	328	795
292	328	792
293	329	790
294	329	787
295	330	785
296	330	783
297	331	781
298	332	779
299	332	776
300	333	774
301	334	772
302	334	769
303	335	767
304	335	765
305	336	762
306	336	760
307	337	758
308	337	755
309	338	753
310	339	751
311	339	748
312	340	746
313	340	744
314	341	742
315	341	739
316	342	737
317	342	735
318	343	733
319	344	731
320	344	729
321	345	727
322	346	726
323	347	725
324	348	723
325	349	721
326	349	719
327	350	717
328	350	715
329	351	713
330	352	712
331	353	710
332	353	708
333	354	706
334	355	705
335	356	703
336	356	702
337	357	700
