iter	Passed	Remaining
0	138	138621
1	140	69944
2	141	47061
3	142	35576
4	143	28646
5	144	24004
6	146	20777
7	147	18293
8	148	16376
9	149	14815
10	150	13543
11	151	12483
12	152	11610
13	154	10884
14	155	10237
15	156	9653
16	157	9130
17	158	8664
18	159	8248
19	160	7874
20	161	7543
21	162	7232
22	163	6951
23	164	6699
24	165	6461
25	166	6241
26	167	6040
27	168	5853
28	169	5689
29	170	5527
30	171	5373
31	172	5229
32	174	5105
33	175	4980
34	176	4859
35	177	4745
36	178	4637
37	179	4534
38	180	4436
39	180	4343
40	181	4253
41	182	4170
42	183	4093
43	185	4020
44	185	3945
45	186	3875
46	187	3810
47	188	3748
48	190	3688
49	190	3628
50	192	3573
51	193	3528
52	194	3476
53	195	3427
54	196	3379
55	197	3332
56	198	3285
57	199	3245
58	201	3207
59	202	3166
60	202	3124
61	203	3084
62	204	3046
63	205	3007
64	206	2971
65	207	2935
66	208	2901
67	209	2870
68	210	2837
69	211	2807
70	212	2776
71	213	2745
72	214	2720
73	215	2696
74	216	2671
75	217	2647
76	219	2627
77	220	2605
78	221	2582
79	222	2557
80	223	2533
81	224	2509
82	224	2482
83	225	2460
84	226	2439
85	227	2419
86	228	2399
87	229	2381
88	230	2363
89	232	2346
90	233	2336
91	235	2322
92	237	2311
93	238	2299
94	240	2289
95	241	2276
96	243	2264
97	245	2255
98	246	2242
99	248	2232
100	249	2219
101	250	2206
102	252	2194
103	253	2181
104	254	2170
105	255	2158
106	257	2147
107	258	2134
108	260	2126
109	261	2115
110	262	2103
111	264	2093
112	265	2082
113	266	2071
114	267	2060
115	269	2050
116	270	2038
117	271	2029
118	272	2020
119	275	2023
120	277	2014
121	278	2003
122	279	1992
123	280	1983
124	282	1974
125	283	1964
126	284	1952
127	285	1943
128	286	1935
129	287	1926
130	290	1926
131	291	1918
132	292	1910
133	294	1901
134	295	1893
135	296	1885
136	298	1877
137	299	1870
138	300	1861
139	301	1852
140	302	1845
141	305	1843
142	306	1837
143	308	1832
144	309	1827
145	311	1819
146	312	1814
147	314	1807
148	315	1799
149	316	1792
150	318	1788
151	320	1785
152	321	1779
153	323	1774
154	324	1768
155	326	1764
156	327	1758
157	329	1758
158	332	1756
159	333	1750
160	335	1747
161	336	1741
162	338	1735
163	339	1729
164	340	1722
165	341	1717
166	343	1710
167	344	1704
168	345	1699
169	347	1694
170	348	1688
171	349	1684
172	351	1680
173	352	1674
174	354	1671
175	355	1666
176	357	1660
177	358	1654
178	359	1649
179	361	1644
180	362	1640
181	364	1638
182	366	1634
183	367	1629
184	368	1623
185	369	1618
186	371	1613
187	372	1609
188	374	1605
189	375	1600
190	376	1594
191	377	1590
192	380	1591
193	381	1587
194	383	1581
195	384	1577
196	385	1573
197	387	1567
198	391	1575
199	392	1569
200	393	1564
201	396	1564
202	397	1560
203	398	1555
204	399	1550
205	400	1544
206	401	1539
207	403	1534
208	404	1532
209	405	1527
210	407	1522
211	408	1517
212	409	1514
213	411	1510
214	412	1505
215	413	1500
216	414	1495
217	415	1490
218	416	1485
219	417	1481
220	418	1476
221	420	1472
222	421	1468
223	422	1463
224	423	1459
225	426	1460
226	427	1456
227	428	1451
228	429	1446
229	430	1442
230	431	1437
231	432	1433
232	434	1428
233	435	1424
234	436	1420
235	437	1416
236	438	1411
237	439	1408
238	441	1404
239	442	1400
240	443	1396
241	444	1392
242	445	1389
243	447	1385
244	448	1381
245	449	1377
246	450	1373
247	451	1369
248	452	1365
249	454	1363
250	456	1363
251	459	1362
252	460	1359
253	461	1356
254	462	1352
255	464	1348
256	465	1344
257	466	1341
258	467	1338
259	469	1337
260	471	1335
261	473	1332
262	474	1328
263	475	1325
264	476	1322
265	478	1319
266	479	1316
267	480	1313
268	482	1309
269	483	1306
270	485	1307
271	487	1303
272	488	1300
273	489	1297
274	490	1293
275	491	1290
276	492	1286
277	494	1283
278	495	1279
279	496	1276
280	497	1273
281	501	1276
282	502	1272
283	503	1269
284	504	1265
285	505	1262
286	507	1260
287	508	1257
288	509	1254
289	511	1251
290	512	1248
291	513	1246
292	515	1244
293	516	1241
294	517	1237
295	519	1234
296	520	1231
297	521	1228
298	522	1224
299	523	1221
300	524	1218
301	525	1215
302	527	1213
303	528	1210
304	530	1209
305	532	1206
306	533	1203
307	534	1200
308	535	1197
309	536	1194
310	537	1191
311	538	1188
312	540	1186
313	542	1185
314	544	1183
315	545	1180
316	546	1177
317	547	1174
318	548	1171
319	549	1168
320	551	1166
321	552	1163
322	554	1161
323	555	1158
324	556	1155
325	557	1153
326	559	1151
327	561	1149
328	562	1146
329	563	1144
330	564	1141
331	565	1138
332	567	1135
333	568	1132
334	569	1130
335	570	1127
336	571	1124
337	572	1121
338	574	1120
339	576	1118
340	577	1115
341	578	1112
342	579	1110
343	580	1107
344	582	1105
345	583	1102
346	584	1099
347	585	1096
348	586	1093
349	587	1091
350	588	1088
351	590	1086
352	591	1084
353	592	1081
354	593	1078
355	594	1075
356	596	1073
357	597	1071
358	598	1069
359	599	1066
360	600	1063
361	602	1061
362	603	1059
363	605	1057
364	606	1055
365	607	1053
366	609	1050
367	610	1048
368	611	1045
369	612	1043
370	613	1040
371	615	1038
372	616	1035
373	617	1033
374	618	1031
375	619	1028
376	621	1026
377	622	1023
378	623	1021
379	624	1019
380	626	1017
381	627	1014
382	628	1012
383	629	1009
384	630	1007
385	631	1005
386	633	1002
387	634	1001
388	636	999
389	637	997
390	638	994
391	639	992
